case;channel;program;date;title;decision_date;decision
13_00479;Kunskapskanalen;Samtiden;2013-02-23;UR, UR Samtiden (Kunskapskanalen), inslag om främlingsfientligheten i Sverige;2013-06-14;Acquittal
13_00545;Kunskapskanalen;UR Samtiden;2013-03-03;UR, (Kunskapskanalen), UR Samtiden, inslag om främlingsfientligheten i Sverige;2013-06-14;Acquittal
13_00667;Kunskapskanalen;Är västvärldens storhetstid förbi?;2013-02-02;SVT Kunskapskanalen, Är västvärldens storhetstid förbi? program om västvärldens historia;2013-07-03;Acquittal
13_00667;Kunskapskanalen;Är västvärldens storhetstid förbi?;2013-02-02;SVT Kunskapskanalen, Är västvärldens storhetstid förbi? program om västvärldens historia;2013-07-03;Acquittal
13_01692;Kunskapskanalen;En bok, en författare: Hjärnrevolutionen;2013-07-16;UR, En bok, en författare: Hjärnrevolutionen (Kunskapskanalen) inslag om en bok;2013-08-27;Acquittal
13_01704;Kunskapskanalen;Pengar - näst viktigast efter kärleken?;2013-07-17;UR, Pengar - näst viktigast efter kärleken? (Kunskapskanalen), inslag om konsumentmakt;2013-08-27;Acquittal
13_03034;Kunskapskanalen;Är västvärldens storhetstid förbi? (del 2);2013-12-22;UR, Kunskapskanalen, Är västvärldens storhetstid förbi, program om hur västvärlden blev en supermakt;2014-04-03;Acquittal
14_01160;Kunskapskanalen;En bok, en författare;2014-03-24;UR (Kunskapskanalen), En bok, en författare, program om en nyutgiven bok;2014-10-13;Conviction
15_00684;Kunskapskanalen;Antikmagasinet;2015-03-06;Antikmagasinet, Kunskapskanalen, program om armbandsur;2015-05-25;Acquittal
15_01171;Kunskapskanalen;Tysklands fall;2015-05-05;Världens fakta:Tysklands fall, Kunskapskanalen, program om andra världskriget;2015-06-08;Acquittal
15_02107;Kunskapskanalen;Planetens gränser;2015-06-14;Kunskapskanalen, Planetens gränser program om Amazonas regnskog;2015-11-20;Acquittal
15_02906;Kunskapskanalen;Kunskapskanalen, Studio Plus;2015-10-22;UR, Kunskapskanalen, Studio Plus inslag om potatis från Israel;2015-12-18;Acquittal
16_01779;Kunskapskanalen;Ovädrens planet;2016-04-30;Ovädrens planet, Kunskapskanalen, program om oväder;2016-09-16;Acquittal
16_03287;Kunskapskanalen;Israels mediestrategi i USA;2016-11-10;UR (Kunskapskanalen), Israels mediestrategi i USA, program om hur pro-israelisk lobbyverksamhet påverkar amerikanska medier;2017-05-02;Acquittal
16_03319;Kunskapskanalen;Israels mediestrategi i USA;2016-11-09;UR (Kunskapskanalen), Israels mediestrategi i USA, program om hur pro-israelisk lobbyverksamhet påverkar amerikanska medier;2017-05-02;Acquittal
16_03327;Kunskapskanalen;7 dagar i Syrien;2016-11-30;UR, Kunskapskanalen, 7 dagar i Syrien, program om situationen i Syrien;2017-10-02;Acquittal
16_03399;Kunskapskanalen;Här kommer kungen;2016-12-06;UR (Kunskapskanalen), Här kommer kungen: Vad är skatt?, program om skatt;2017-03-24;Acquittal
16_03625;Kunskapskanalen;NA;NA;UR (Kunskapskanalen), Israels mediestrategi i USA, program om hur pro-israelisk lobbyverksamhet påverkar amerikanska medier;2017-05-02;Acquittal
17_00160;Kunskapskanalen;Dokument utifrån: Despoten i Damaskus;2017-01-15;SVT2 och Kunskapskanalen, Dokument utifrån: Despoten i Damaskus, program om Syriens president;2017-11-13;Acquittal
17_00160;Kunskapskanalen;Dokument utifrån: Despoten i Damaskus;2017-01-15;SVT2 och Kunskapskanalen, Dokument utifrån: Despoten i Damaskus, program om Syriens president;2017-11-13;Acquittal
17_00281;Kunskapskanalen;Värdens fakta: Bombstyrkan;2017-01-22;Kunskapskanalen, Världens fakta: Bombstyrkan, program om brittiska bombflygare;2017-04-05;Acquittal
17_01178;Kunskapskanalen;Dokument utifrån: Marine Le Pens väg mot makten;2017-04-25;Kunskapskanalen, Dokument utifrån: Marine Le Pens väg mot makten, program om ett politiskt parti i Frankrike;2017-10-20;Acquittal
17_01882;Kunskapskanalen;Marknadsföringens hemligheter;2017-07-11;Kunskapskanalen (UR), Marknadsföringens hemligheter, program om marknadsföring;2017-09-27;Acquittal
17_03665;Kunskapskanalen;Att flyga: Staden bland molnen;2017-10-18;Kunskapskanalen (SVT), Att flyga: Staden bland molnen, program om flygtransporter och logistik;2018-02-20;Acquittal
17_03665;Kunskapskanalen;Att flyga: Staden bland molnen;2017-10-18;Kunskapskanalen (SVT), Att flyga: Staden bland molnen, program om flygtransporter och logistik;2018-02-20;Acquittal
17_03724;Kunskapskanalen;Hitlers sista dagar;2017-12-06;Kunskapskanalen (SVT), Hitlers sista tid, program om andra världskrigets slutskede;2018-04-23;Conviction
17_03724;Kunskapskanalen;Hitlers sista dagar;2017-12-06;Kunskapskanalen (SVT), Hitlers sista tid, program om andra världskrigets slutskede;2018-04-23;Conviction
17_03953;Kunskapskanalen;Dokument utifrån: Det andra Jerusalem;2017-12-26;Kunskapskanalen (SVT), Dokument utifrån: Det andra Jerusalem, program om motsättningar i östra Jerusalem;2018-06-25;Acquittal
17_03953;Kunskapskanalen;Dokument utifrån: Det andra Jerusalem;2017-12-26;Kunskapskanalen (SVT), Dokument utifrån: Det andra Jerusalem, program om motsättningar i östra Jerusalem;2018-06-25;Acquittal
18_00076;Kunskapskanalen;Jamie Olivers sockerchock;2018-01-08;UR, Kunskapskanalen, Jamie Olivers sockerchock, program om sockerkonsumtion;2018-10-01;Acquittal
18_01016;Kunskapskanalen;Islands rikedom;2018-03-23;UR, Kunskapskanalen, Islands rikedom, program om forskning på Island;2018-10-15;Conviction
18_03884;Kunskapskanalen;Dokument utifrån: Gud, Polen och politiken;2018-10-30;Kunskapskanalen, Dokument utifrån: Gud, Polen och politiken, program om polens inrikespolitik;2019-01-31;Acquittal
19_00042;Kunskapskanalen;Att växla genre;2018-11-16;UR, Kunskapskanalen, Att växla genre, inslag om böcker;2019-02-13;Acquittal
19_00535;Kunskapskanalen;Det vilda Mexiko;2019-02-14;Kunskapskanalen, Det vilda Mexiko, program om Mexikos naturliv;2019-05-15;Acquittal
19_01732;Kunskapskanalen;Dokument inifrån: Bye Bye Britain;2019-05-17;SVT, Kunskapskanalen, Dokument utifrån: Bye Bye Britain, program om Brexit-förhandlingarna;2019-08-06;Acquittal
19_01732;Kunskapskanalen;Dokument inifrån: Bye Bye Britain;2019-05-17;SVT, Kunskapskanalen, Dokument utifrån: Bye Bye Britain, program om Brexit-förhandlingarna;2019-08-06;Acquittal
19_02403;Kunskapskanalen;Omöjlig ingenjörskonst: Teslas bilfabrik;2019-07-11;Kunskapskanalen (UR), Omöjlig ingenjörskonst - Teslas bilfabrik, program om ett bilmärke;2019-12-04;Acquittal
20_00114;Kunskapskanalen;Himalaya - granne med molnen;2020-01-08;UR_Kunskapskanalen, Himalaya - granne med molnen, programserie om Tibet;2020-09-21;Conviction
20_00116;Kunskapskanalen;Vildsvinens återkomst;2020-01-06;SVT Kunskapskanalen, Vildsvinens återkomst, program om vildsvin;2020-02-28;Acquittal
20_00116;Kunskapskanalen;Vildsvinens återkomst;2020-01-06;SVT Kunskapskanalen, Vildsvinens återkomst, program om vildsvin;2020-02-28;Acquittal
20_00123;Kunskapskanalen;Historien om Hare Krishna;2020-01-09;UR_Kunskapskanalen, Historien om Hare Krishna, program om religiös rörelse;2020-09-21;Conviction
20_01433;Kunskapskanalen;Murar, gränser och taggtråd;2020-03-25;UR, Kunskapskanalen, Murar, gränser och taggtråd, del 5: Israel och Palestina;2020-06-05;Acquittal
20_02248;Kunskapskanalen;Dokument utifrån: Vem är rädd för Huawei?;2020-05-17;Kunskapskanalen, Dokument utifrån: Vem är rädd för Huawei?, program om ett telekombolag;2020-09-09;Acquittal
20_02604;Kunskapskanalen;"Kunskapslanalen, Dokument utifrån; Japansk rättvisa";2020-06-09;SVT Kunskapskanalen, Dokument utifrån: Japansk rättvisa;2020-09-23;Acquittal
20_02604;Kunskapskanalen;"Kunskapslanalen, Dokument utifrån; Japansk rättvisa";2020-06-09;SVT Kunskapskanalen, Dokument utifrån: Japansk rättvisa;2020-09-23;Acquittal
20_02616;Kunskapskanalen;UR Samtiden;2020-06-19;Kunskapskanalen, UR Samtid, inslag om reportage från armémuseet om fanor_flaggor;2020-10-30;Acquittal
20_02937;Kunskapskanalen;Vaccinmotståndarna;2020-04-21;"Kunskapskanalen (SVT), Dokument utifrån: Vaccinmotståndarna; program om vaccinmotståndare";2020-09-23;Acquittal
20_02937;Kunskapskanalen;Vaccinmotståndarna;2020-04-21;"Kunskapskanalen (SVT), Dokument utifrån: Vaccinmotståndarna; program om vaccinmotståndare";2020-09-23;Acquittal
20_05006;Kunskapskanalen;Kärnkraftens historia;2020-10-28;UR, Kunskapskanalen, Kärnkraftens historia;2021-05-26;Acquittal
20_05621;Kunskapskanalen;NA;2020-12-02;Kunskapskanalen, Det finska inbördeskriget;2021-06-18;Acquittal
21_01721;Kunskapskanalen;Fantastiska uppfinningar;2021-04-18;Kunskapskanalen (SVT), Fantastiska uppfinningar, program om tekniska innovationer inom jordbruket;2021-09-01;Acquittal
21_01721;Kunskapskanalen;Fantastiska uppfinningar;2021-04-18;Kunskapskanalen (SVT), Fantastiska uppfinningar, program om tekniska innovationer inom jordbruket;2021-09-01;Acquittal
21_03546;Kunskapskanalen;Städernas hemlighet;2021-09-15;Kunskapskanalen (SVT), Städernas hemligheter, program om konst och kultur i Baku;2021-11-15;Acquittal
21_03546;Kunskapskanalen;Städernas hemlighet;2021-09-15;Kunskapskanalen (SVT), Städernas hemligheter, program om konst och kultur i Baku;2021-11-15;Acquittal
22_00536;Kunskapskanalen;Fantastiska uppfinningar;2022-02-06;Kunskapskanalen (SVT), Fantastiska uppfinningar, program om uppfinningen betong;2022-04-08;Acquittal
22_00536;Kunskapskanalen;Fantastiska uppfinningar;2022-02-06;Kunskapskanalen (SVT), Fantastiska uppfinningar, program om uppfinningen betong;2022-04-08;Acquittal
22_01357;Kunskapskanalen;Omöjlig ingenjörskonst;2022-04-15;Kunskapskanalen, Omöjlig ingenjörskonst, program om världens största vindkraftsfarm till havs;2022-06-10;Acquittal
22_02393;Kunskapskanalen;Tyst vår - 60 år senare;2022-08-12;UR (Kunskapskanalen), Tyst vår - 60 år senare, program om biologisk mångfald och artdöd;2022-09-30;Acquittal
13_01678;SR;P3 Nyheter, inslag om recept med scampi;2013-03-19;Begäran om omprövning av beslut 13_00745;2013-08-27;Acquittal
13_01974;SR;Vaken i P3 P4;NA;Begäran om omprövning av beslut 13_01490;2013-09-23;Acquittal
13_01974;SR;Vaken i P3 P4;NA;Begäran om omprövning av beslut 13_01490;2013-09-23;Acquittal
14_02372;SR;Myrenberg i P1;2014-07-17;Begäran om omprövning av beslut 14_01712;2014-10-27;Acquittal
17_02051;SVT;SVT Play Nyheter;NA;Begäran om omprövning av beslut 17_01840;2017-10-20;Acquittal
20_03521;SVT;SVT Nyheter;2020-08-06;Rapport, inslag om att det var 75 år sedan atombomben fälldes över Hiroshima och att det sker en ny upprustning av kärnvapen;2020-11-02;Acquittal
21_02011;SR;P1, Studio Ett, inslag om en Säpo-utredning;NA;Begäran om omprövning av beslut 19_04197;2021-06-18;Acquittal
13_00112;SR;Studio Ett;2013-01-08;P1, Studio Ett, inslag om ett utlämnande till USA;2013-04-05;Acquittal
13_00134;SR;Gomorron världen;2013-01-13;P1, Gomorron världen, inslag med en krönika;2013-04-05;Acquittal
13_00196;SR;Morgonen;2013-01-18;P4 Radio Blekinge, Morgonen, fråga om gynnande av kafé;2013-06-24;Acquittal
13_00233;SR;P4 Jämtland Eftermiddag;2013-01-15;SR P4 Radio Jämtland inslag om ett bråk i en krogkö;2013-04-29;Acquittal
13_00264;SR;Kropp och själ;2013-01-15;SR P1 Kropp och själ, uttalande om folkmängd;2013-10-14;Acquittal
13_00270;SR;Kulturnytt;2013-01-29;P1, Kulturnytt, inslag om en bok;2013-06-24;Acquittal
13_00271;SR;Carlsson & Co;2013-01-31;P4 Halland, Carlsson & Co, program om syra- och basbalansen i den mänskliga kroppen;2013-04-29;Acquittal
13_00297;SR;Humorhimlen;2013-02-03;P3, Humorhimlen, sketch om rullstolsburna;2013-06-10;Acquittal
13_00328;SR;P3 Christer;2013-02-05;P3 Christer inslag om misshandel;2013-06-14;Acquittal
13_00331;SR;Nyheterna;2013-02-05;Nyheter, P3, inslag om mordförsök på dansk islamkritiker;2013-07-03;Acquittal
13_00355;SR;P1-morgon;2013-02-07;SR P1-morgon inslag om vargjakt och vargar;2013-04-05;Acquittal
13_00361;SR;Ekot;2013-02-11;P4, Ekot, om Ola Gefvert;2013-06-14;Acquittal
13_00368;SR;Människor och tro;2013-02-08;SR P1 Människor och tro inslag om den årliga bönefrukosten;2013-04-05;Acquittal
13_00372;SR;Morgonpasset;2013-02-08;Morgonpasset, P3, inslag om näthat;2013-06-10;Acquittal
13_00417;SR;P4 Morgon, Kalmar;2013-02-15;P4 Morgon, Sveriges Radio P4 Kalmar, inslag med en författare;2013-06-14;Acquittal
13_00418;SR;Gomorron världen;2013-02-17;P1, Gomorron världen, inslag om Katolska kyrkan;2013-06-14;Acquittal
13_00419;SR;Kaliber;2013-02-17;P1, Kaliber, inslag om vindkraft;2013-06-14;Acquittal
13_00450;SR;P4 morgon (nyheterna);2013-02-18;Nyheter, SR P4 Skaraborg, inslag om en behandlingsmetod;2013-07-03;Acquittal
13_00452;SR;P4 Radio Kalmar (nyheterna?);2013-02-15;P4 Morgon, Sverige Radio P4 Kalmar, inslag med en författare;2013-06-14;Acquittal
13_00469;SR;P4 Morgon;2013-02-21;Sveriges Radio P4 Morgon, inslag om förvaltningsdomstolens beslut om vargjakt;2013-09-30;Acquittal
13_00483;SR;Institutet;2013-02-24;Instituitet, P3, Institutet, samtal om alkohol;2013-06-10;Acquittal
13_00495;SR;P4 Extra med Lotta Bromé;2013-02-25;SR P4 Extra, programledaruttalande om Sverigedemokraterna;2013-06-10;Acquittal
13_00519;SR;Meny;2013-02-28;SR P1 Meny, inslag om rankning av krogar;2013-06-14;Acquittal
13_00532;SR;P1-morgon och Studio Ett;2013-03-01;P1-morgon och Studio Ett, P1, inslag om projektet Reva;2013-06-14;Acquittal
13_00548;SR;Radiokorrespondenterna;2013-03-03;Radiokorrespondenterna, P1, inslag om Syrien;2013-07-03;Acquittal
13_00570;SR;Stål;2013-03-04;Radioföljetongen Stål, P1, uppläsning av en roman;2013-09-05;Acquittal
13_00589;SR;Studio Ett;2013-03-05;Studio Ett, P1, inslag om Kuba;2013-07-03;Acquittal
13_00623;SR;P1 Morgon;2013-03-08;SR P1 Morgon inslag om debatt om polisens metoder;2013-07-03;Acquittal
13_00624;SR;Studio ett;2013-03-07;Studio Ett, P1, inslag om asylsökande som inte kan utvisas;2013-07-03;Acquittal
13_00634;SR;Meny;2013-02-21;P1, Meny, inslag om en restaurangguide;2013-07-03;Acquittal
13_00641;SR;Nyheter;2013-03-11;P4 Sjuhärad Direkt, inslag om en debatt;2013-09-30;Acquittal
13_00721;SR;Vetandets värld;2013-03-07;SR P1 Vetandets värld inslag om digitalradio;2013-07-03;Acquittal
13_00722;SR;Radio Stockholm P4;2013-03-15;SR Radio Stockholm P4;2013-06-10;Acquittal
13_00745;SR;P3 Nyheter;2013-03-19;P3 Nyheter, inslag om recept med scampi;2013-07-03;Acquittal
13_00746;SR;P4 Extra med Lotta Bromé;2013-03-18;P4 Extra med Lotta Bromé, inslag om appar;2013-09-30;Acquittal
13_00781;SR;Narkotikalandet, del 3;2013-03-24;Narkotikalandet. P1, inlsag om cannabis och missbruk;2013-04-29;Acquittal
13_00796;SR;Studio ett;2013-03-26;P1, Studio Ett, inslag om den svenska skolan;2013-07-03;Acquittal
13_00816;SR;Carlsson & Co;2013-03-19;P4 Halland, Carlsson & Co, inslag om strålning från mobiler;2013-06-14;Acquittal
13_00818;SR;Medierna;2013-03-30;P1, Medierna, inslag om mediernas förhållningsätt till Sverigedemokraterna;2013-06-10;Acquittal
13_00892;SR;Verkligheten i P3;2013-03-21;Verkligheten i P3, program om en rappare från Borlänge;2013-10-14;Acquittal
13_00913;SR;Morgonekot P1;2013-04-11;P1, Morgonekot, inslag om en överenskommelse om asylsökande barn;2013-07-03;Acquittal
13_00920;SR;En kebabtallrik;2013-04-11;P4, Radio Stockholm, En kebabtallrik, program om en 10-årig pojke;2013-07-03;Acquittal
13_00927;SR;Nyheter;2013-04-02;Verkligheten i P3, program om en rappare från Borlänge;2013-10-14;Acquittal
13_00936;SR;Teologiska rummet;2013-04-14;P1, Teologiska rummet, program om sharia och mänskliga rättigheter;2013-07-03;Acquittal
13_00997;SR;Tankar för dagen;2013-04-17;P1, Tankar för dagen, en krönika;2013-09-05;Acquittal
13_01023;SR;Studio Ett, P1 Morgon, Ekot;2013-04-16;Studio Ett, P1-morgon, Dagens Ekot, inslag om turerna kring Omar Mustafa;2013-06-14;Acquittal
13_01124;SR;Medierna;2013-04-20;Medierna, P1, inslag om medierapporteringen kring en begäran om en svensk taxichaufför;2013-10-28;Acquittal
13_01128;SR;Ring P1;2013-05-02;Ring P1, inslag med lyssnarsamtal;2013-08-27;Acquittal
13_01138;SR;Nyheterna;2013-05-03;P4 Väst, Nyheterna, inslag om ett omhändertagande;2013-09-05;Acquittal
13_01162;SR;Nordegren och Epstein;2013-04-30;P1, Nordegren och Epstein, uttlande om Storbritanniens kronprins;2013-07-03;Acquittal
13_01173;SR;P4 Örebro, nyheter;2013-05-07;Lokala nyheterna, P4 Örebro, inslag om kommunalt partistöd till Sverigedemokraterna i Degerfors kommun;2013-09-05;Acquittal
13_01185;SR;P4 Dans;2013-05-05;P4, P4 Dans, inslag om dansbandstävling;2013-08-27;Acquittal
13_01186;SR;P4 Morgon;2013-05-08;P4 Väst, P4 Morgon, program med direktsändning från nyöppnat IKEA-varuhus;2013-10-01;Acquittal
13_01198;SR;Kropp och själ;2013-05-07;P1, Kropp och själ, inslag om alternativmedicin;2013-09-05;Acquittal
13_01206;SR;Studio Ett;2013-05-08;P1, Studio Ett, inslag om Östersjölax;2013-09-05;Acquittal
13_01229;SR;Dagens Eko;2013-05-15;Ekot, Sveriges Radio P4 Göteborg, inslag om trängselskatt;2013-11-11;Acquittal
13_01244;SR;P3 Dokumentär;2013-05-04;SR, P3 Dokumentär - Sjukhusspionen i Göteborg;2014-02-17;Acquittal
13_01257;SR;Morgonpasset i P3;2013-05-17;SR, Morgonpasset i P3 - inslag om cannabis;2013-09-05;Acquittal
13_01276;SR;Uggla i P4;2013-05-17;SR, Uggla i P4 inslag om alkohol och rökning;2013-09-05;Acquittal
13_01347;SR;Karlavagnen;2013-05-22;P4, Karlavagnen, inslag med uttalande av programledare;2013-09-05;Acquittal
13_01408;SR;P1-Morgon;2013-05-31;P1-Morgon, inslag om Julian Assange;2013-09-05;Acquittal
13_01445;SR;P1, Radioteatern;2013-06-08;SR, Radioteatern: Göteborgsdekalogen - Jens pjäs, avsnitt i en teaterserie;2013-09-05;Acquittal
13_01464;SR;P4 Malmöhus;2013-06-13;Morgonen, SR P4 Malmöhus, inslag om Jimmie Åkessons bok;2013-08-27;Acquittal
13_01487;SR;Morgonpasset i P3;2013-06-14;Morgonpasset i P3, uppspelning av musik;2013-10-01;Acquittal
13_01490;SR;Vaken i P3 och P4;2013-06-16;SR, Vaken i P3 och P4, hänvisning till Facebook;2013-08-27;Acquittal
13_01490;SR;Vaken i P3 och P4;2013-06-16;SR, Vaken i P3 och P4, hänvisning till Facebook;2013-08-27;Acquittal
13_01587;SR;Godmorgon, Världen!;2013-06-30;P1, Godmorgon, världen!, fråga om uttalande av programledare;2013-11-25;Acquittal
13_01625;SR;Meny;2013-06-27;Meny, P1, inslag om sommarmat;2013-08-27;Acquittal
13_01626;SR;Nyheterna;2013-07-04;Nyheterna P4 Skaraborg, inslag om ett hot mot en minkfarmare;2013-10-04;Acquittal
13_01628;SR;Ekonyheter, Morgoneko;2013-06-18;Morgoneko och Ekonyheter, P1, inslag om en studie;2013-11-11;Acquittal
13_01649;SR;Nyheter;2013-07-08;P3 Nyheter, krönika om nedläggning av Alta Vista;2013-09-05;Acquittal
13_01650;SR;Kulturradion;2013-07-09;P1, Kulturradion, inslag om dammbygge i Indien;2013-08-27;Acquittal
13_01695;SR;P1 Morgon;2013-07-17;SR, P1 Morgon inslag om krisen i Grekland;2013-09-05;Acquittal
13_01706;SR;Quissa i P3;2013-07-12;SR, Quissa i P3 inslag med sketch;2013-10-01;Acquittal
13_01709;SR;P1-morgon;2013-07-12;P1-morgon, inslag om polisingripande;2013-10-04;Acquittal
13_01727;SR;Ring P1;2013-07-25;SR, Ring P1 inslag om politikermobbning;2013-09-05;Acquittal
13_01768;SR;Musikguiden i P3;2013-08-05;Musikguiden, P3, sändning med artister från Way Out West;2013-10-04;Acquittal
13_01798;SR;Lata dagar;2013-07-04;Lata dagar, Sveriges Radio P4 Halland, inslag med en hotellägare;2013-11-11;Acquittal
13_01809;SR;Nyheterna P4 Jämtland;2013-07-23;Nyheterna, Sveriges Radio P4 Jämtland, inslag om lagen om sjöfylleri;2013-11-11;Acquittal
13_01875;SR;Morgonpasset;2013-08-23;Morgonpasset, P3, samtal om danssjuka;2013-10-04;Acquittal
13_01876;SR;Ekot;2013-08-24;P1, Ekot, inslag om Syrien;2013-10-04;Acquittal
13_01902;SR;Christer i P3;2013-08-26;P3, Christer, inslag med lyssnarsamtal;2013-10-01;Acquittal
13_01903;SR;Godmorgon, världen!;2013-08-25;P1, Godmorgon, världen, inslag om Syrien;2013-10-04;Acquittal
13_01904;SR;Lunchekot;2013-08-27;P1, Lunchekot, inslag om kubanska läkare;2013-10-01;Acquittal
13_01912;SR;Epstein och Nordegren i P1;2013-08-28;P1, Epstein och Nordegren i P1, inslag om Moderaterna;2013-10-01;Acquittal
13_01925;SR;P1 Morgon;2013-08-30;P1 Morgon, inslag om en bok om Västsahara;2013-11-12;Acquittal
13_01961;SR;Studio ett;2013-08-30;P1, Studio ett, inslag om Syrien;2013-11-12;Acquittal
13_01962;SR;Godmorgon, världen;2013-09-01;Gomorgon, världen!, P1, inslag om konflikten i Syrien;2013-11-11;Acquittal
13_01984;SR;Konflikt;2013-09-07;P1, Konflikt, inslag om Syrien;2013-10-04;Acquittal
13_01996;SR;Carlsson & Co;2013-09-09;Carlsson & Co, Sveriges Radio P4 Halland, inslag om örtodling;2014-02-03;Conviction
13_02005;SR;Gotlandsnytt;2013-09-10;P4 Gotland, Gotlandsnytt, inslag om en hundmisshandel;2013-12-20;Acquittal
13_02010;SR;P4 Extra med Lotta Bromé;2013-09-10;P4 Extra, inslag om kyrkovalet;2013-11-11;Acquittal
13_02096;SR;P4 Extra;2013-09-19;P4 Extra, om Afrika;2013-11-11;Acquittal
13_02213;SR;P4 Morgon Göteborg;2013-10-03;P4 Morgon Göteborg, Sveriges Radio P4 Göteborg, panelsamtal om en jaktmyndighet;2013-12-06;Acquittal
13_02216;SR;Studio Ett;2013-10-03;P1, Studio Ett, inslag om en uppmärksammad hovrättsdom;2013-11-11;Acquittal
13_02235;SR;Ekot;2013-10-06;P1, Ekot, fråga gällande redovisning av väljaropinion;2014-01-20;Acquittal
13_02239;SR;Nyheter;2013-10-07;Norrbottensnytt, Sveriges Radio P4 Norrbotten, inslag om ett hotellbygge;2013-12-06;Acquittal
13_02274;SR;Studio Ett;2013-10-08;Studio Ett, P1, inslag om prostitution i Göteborg;2013-12-06;Acquittal
13_02291;SR;Förmiddag i P4;2013-10-14;P4 Norrbotten, Förmiddag i P4, fråga gällande inslag om havsöringsbeståndet i Bottenviken;2014-03-14;Acquittal
13_02292;SR;Lunchekot;2013-10-13;Lunchekot, P1, inslag om Lettland;2013-11-11;Acquittal
13_02305;SR;P4 Extra;2013-10-08;P4 Extra, vinstpresentation i samband med insamling till välgörenhet;2014-02-17;Acquittal
13_02324;SR;Efter tre;2013-10-16;Epstein och Nordegren i P1, inslag om amorteringar;2013-11-12;Acquittal
13_02353;SR;Godmorgon, Världen;2013-10-20;God morgon, världen!, P1, inslag om svenskar som krigar i andra länder;2013-11-11;Acquittal
13_02369;SR;Studio Ett;2013-08-19;Studio Ett, P1, inslag om hijabuppropet;2013-11-11;Acquittal
13_02370;SR;P4 Väst Nyheter;2013-09-20;P4 Väst, Nyheter och Nyhetstimmen, inslag om ett kommunalt återvinningsbolag;2014-03-31;Conviction
13_02409;SR;Nyheter, P4 Norrbotten;2013-10-21;P4 Norrbotten, Nyheter, inslag om havsöringsbeståndet i Bottenviken;2014-03-14;Acquittal
13_02428;SR;Nyheterna;2013-09-03;Sveriges Radio P4 Göteborg, Nyheter, ett åtal;2014-01-20;Acquittal
13_02443;SR;Tankesmedjan;2013-10-30;Tankesmedjan, P3, inslag med en krönika;2013-12-06;Acquittal
13_02448;SR;Ekot;2013-10-30;Ekonominyheterna, P1, 2013-10-23, kl. 12.05, inslag om trådlösa nätverk;2014-03-07;Acquittal
13_02494;SR;Epstein och Nordegren i P1;2013-11-06;P1, Epstein och Nordegren, inslag om tårtkastning mot en partiledare;2013-12-06;Acquittal
13_02535;SR;Medierna;2013-11-10;P1, Medierna, inslag om den politiska maktens missnöje med medierapporteringen;2013-12-16;Acquittal
13_02549;SR;Morgonpasset;2013-11-09;Morgonpasset, P3, inslag om Kuba;2014-03-07;Acquittal
13_02554;SR;Nyheter;2013-11-08;P4 Skaraborg, Nyheter - inslag om Hillsong church;2014-03-17;Conviction
13_02616;SR;Nyheter;2013-10-02;Sveriges Radio P4 Malmöhus, Lokala nyheter, inslag om politiker i Staffanstorp;2014-03-17;Conviction
13_02629;SR;Kulturnytt;2013-11-12;P1, Kulturnytt, inslag om trafiken på internet;2014-02-17;Acquittal
13_02634;SR;Morgon i P4 Malmöhus;2013-11-14;P4 Radio Malmöhus, Morgon i P4, uttalande om Sverigedemokraterna;2014-02-17;Acquittal
13_02655;SR;Nyheter;2013-11-07;P4 Skaraborg, nyheter, inslag om Hillsong Church;2014-03-17;Conviction
13_02685;SR;Morgon;2013-11-19;Sveriges Radio P4 Malmöhus, Morgon, uttalande av en medverkande;2014-01-20;Acquittal
13_02686;SR;Tankesmedjan;2013-11-21;P3, Tankesmedjan, inslag om diabetiker;2014-03-17;Acquittal
13_02692;SR;P1 Morgon;2013-11-22;P1 Morgon, intervju med Jimmie Åkesson;2014-03-14;Acquittal
13_02789;SR;Ekot;2013-12-01;P1, Dagens Eko, inslag om Göran Lambertz;2014-01-20;Acquittal
13_02800;SR;Carpe Fucking Diem;2013-12-02;Tankesmedjan, P3, inslag om en politiker;2014-05-26;Acquittal
13_02855;SR;Tankesmedjan;2013-12-02;Tankesmedjan, P3, inslag om en politiker;2014-05-26;Acquittal
13_02857;SR;Tankesmedjan;2013-12-01;Tankesmedjan, P3, inslag om en politiker;2014-05-26;Acquittal
13_02858;SR;Världshistorien;2013-12-01;P1, Världshistorien, radioteater;2014-01-20;Acquittal
13_02866;SR;Ring P1;2013-11-25;SR, Ring P1 inslag med lyssnarsamtal;2014-03-10;Acquittal
13_02868;SR;Nyheter från P4 Sörmland;2013-12-06;SR, Nyheter från P4 Sörmland, inslag om Björkviks församling;2014-03-17;Conviction
13_02873;SR;Ekot;2013-12-05;Ekonyheterna och Morgoneko, P3 och P1, inslag om angrepp på får;2014-05-26;Acquittal
13_02873;SR;Ekot;2013-12-05;Ekonyheterna och Morgoneko, P3 och P1, inslag om angrepp på får;2014-05-26;Acquittal
13_02902;SR;Ring P1;2013-11-06;P1, Ring P1, inslag med lyssnarsamtal;2014-01-20;Acquittal
13_02920;SR;Studio Ett;2013-12-13;Studio Ett, P1, inslag om vapenvåldet i USA;2014-03-07;Acquittal
13_02955;SR;Tankar för dagen;2013-12-17;P1, Tankar för dagen, en krönika;2014-01-20;Acquittal
