case;channel;program;date;title;decision_date;decision
18_02563;SR;Morgonekot;2018-07-23;P1, Morgonekot, inslag om Georgiens relation till Nato;2018-10-10;Acquittal
18_02585;SR;Godmorgon, världen!;2018-07-29;P1, God morgon, världen!, inslag om skogen;2018-10-24;Acquittal
18_02604;SR;Feeden i P3;2018-07-31;Feeden i P3, inslag om kritik mot en podcast;2018-12-21;Acquittal
18_02608;SR;Eftermiddag i P4 Jämtland;2018-06-11;Eftermiddag i P4 Jämtland, inslag med avbruten intervju;2018-10-10;Acquittal
18_02700;SR;Tankesmedjan;2018-08-09;P3, Tankesmedjan, inslag om att få delta på Europride;2018-10-24;Acquittal
18_02711;SR;God morgon, världen!;2018-08-12;SR, P1 God morgon, världen! inslag om ett uppsagt avtal;2018-10-24;Acquittal
18_02760;SR;Eftermiddag i P4 Västerbotten;2018-08-16;SR, P4, Eftermiddag i P4 Västerbotten inslag med veckans sommargäst;2018-11-09;Acquittal
18_02761;SR;Sommar i P1;2018-08-16;Sommar i P1, program med folkmusiker;2018-12-20;Acquittal
18_02773;SR;Sommar i P1 med Sara Danius;2018-08-18;Sommar i P1, program med Sara Danius;2018-12-21;Acquittal
18_02784;SR;Morgonpasset i P3;2018-08-13;Morgonpasset i P3, intervju med Moderaternas partiledare;2018-11-09;Acquittal
18_02818;SR;Människa och tro;2018-08-23;P1, Människor och tro, program om svenskhet;2018-11-22;Acquittal
18_02846;SR;Godmorgon, världen!;2018-08-26;P1, Godmorgon, världen! inslag med satirgruppen Public Service;2018-11-22;Acquittal
18_02860;SR;Dagens Eko;2018-08-27;P1, Dagens Eko, inslag om partiers politiska förslag;2018-11-09;Acquittal
18_02862;SR;Ring P1;2018-08-24;Ring P1, program med inringande lyssnare och repris;2018-10-10;Acquittal
18_02872;SR;Studio Ett;2018-08-28;P1, Studio Ett, inslag om Socialdemokraternas valmanifest;2018-11-09;Acquittal
18_02874;SR;Morgonpasset i P3;2018-08-29;Morgonpasset i P3, inslag om partiledaren för Sverigedemokraterna;2019-03-04;Acquittal
18_02879;SR;Meny med Tomas Tengby;2018-08-29;P1, Meny med Tomas Tengby program om tarmfloran;2018-11-09;Acquittal
18_02899;SR;P3 Nyheter;2018-08-29;P3 Nyheter, inslag om uttalanden av Sverigedemokraternas partiledare;2019-03-18;Acquittal
18_02901;SR;Eftermiddag i P4 Väst;2018-08-30;Eftermiddag i P4 Väst, inslag om ett valmöte;2019-03-04;Acquittal
18_02950;SR;Plånboken;2018-09-01;P1, Plånboken, inslag om svensk fattigdom;2018-11-09;Acquittal
18_02955;SR;Helgen i P3;2018-09-02;Helgen i P3, inslag om att stjäla;2018-11-09;Acquittal
18_02982;SR;God morgon, världen!;2018-08-19;P1, God morgon, världen!, inslag om kravallerna i Charlottesville;2018-11-22;Acquittal
18_02995;SR;Morgonekot;2018-09-05;P1, Morgonekot, inslag om NATO:s syn på spridning av desinformation;2018-11-09;Acquittal
18_03018;SR;Studio Ett;2018-09-05;P1, Studio Ett, debattprogram om klimatfrågan;2018-12-20;Acquittal
18_03019;SR;Vetenskapsradion;2018-09-05;P1, Vetandets värld, inslag om klimatskeptiker;2019-05-27;Acquittal
18_03023;SR;P1-morgon;2018-09-06;P1-morgon, inslag om Nordiska motståndsrörelsen;2018-12-14;Acquittal
18_03039;SR;P1-morgon;2018-09-04;P1-morgon, inslag om opinionssiffror;2018-12-20;Acquittal
18_03041;SR;Vetandets värld;2018-09-05;P1, Vetandets värld, inslag om klimatskeptiker;2019-05-27;Acquittal
18_03042;SR;Nordegren & Epstein;2018-09-06;P1, Nordegren & Epstein, inslag om riksdagspolitiker som vill avkriminalisera cannabisbruk;2018-11-22;Acquittal
18_03165;SR;Dalanytt;2018-09-10;Förmiddag i P4 Dalarna, intervju med en person från Svenska kommunistiska Partiet som valts in i kommunfullmäktige Ludvika kommun;2018-12-14;Acquittal
18_03172;SR;Vaken i P3 och P4;2018-09-13;Vaken med P3 och P4, inslag om ett event arrangerat av ett teknikföretag;2019-03-04;Acquittal
